cmc_id,symbol,name,sector,peak_mcap,last_mcap,n_months,first_m,last_m,dl_chain,map_via,chain_dex_30d,mat_ratio,rung,rung_reason
3794,ATOM,Cosmos,Interoperability;Layer-1,8999478523.568047,998032632.1003642,85,2019-04-30,2026-05-31,CosmosHub,cmcId,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
1361,ATX,Artex Coin,,307075.90060458,86321.91210448,13,2016-12-31,2017-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
666,AU,Aurum Coin,,11343886.10459886,5918199.32408111,31,2016-08-31,2019-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
148,AUR,Auroracoin,Gamified Mining;Lending,15756268.58206774,1104922.11393128,44,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
5805,AVAX,Avalanche,Canonical Bridge;Layer-1;RWA;Smart Contract Platform,26938334988.869225,3868641611.092868,68,2020-09-30,2026-05-31,Avalanche,cmcId,2189282138.0,0.5659046140956803,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.5659>= 0.01)
11976,AZERO,Aleph Zero,Layer-1;Privacy;Smart Contract Platform;Zero Knowledge,416805365.4129697,38136642.80858201,22,2023-07-31,2025-04-30,Aleph Zero EVM,symbol,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2204,B2B,B2BX,Algo-Stables;Smart Contract Platform,14731164.51252785,14731164.51252785,2,2020-11-30,2020-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3684,B2G,Bitcoiin,,19963960.02236761,1396292.7833554,6,2019-02-28,2019-07-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
32198,BABY,Babylon,Dexs;Restaking,241595113.26091024,53182185.89694007,14,2025-04-30,2026-05-31,Babylon Genesis,gecko,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1463,BASH,LuckChain,,23850378.78684286,2974638.27407521,17,2016-11-30,2018-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1697,BAT,Basic Attention Token,Services;AI/Big Data;Interoperability;Payments;Privacy;Smart Contract Platform,2179035438.5419383,175383445.6683975,108,2017-06-30,2026-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
723,BAY,BitBay,Yield Aggregator;Exchange Token;Payments,220023341.5053168,204550585.6491665,54,2015-08-31,2020-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
30746,BB,BounceBit,Yield;Layer-1;Restaking,204339789.17824945,31099097.28546909,24,2024-06-30,2026-05-31,BounceBit,cmcId,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
406,BBR,Boolberry,,30397962.7070713,1128696.10010268,58,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1513,BCC,BitConnect,,2593243079.156901,3523910.35426731,18,2017-01-31,2018-07-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
2222,BCD,Bitcoin Diamond,Payments,854046031.8422914,20810873.52425386,86,2018-03-31,2026-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1831,BCH,Bitcoin Cash,Layer-1;Payments,42774236530.92965,6060331095.472901,106,2017-08-31,2026-05-31,smartBCH,cmcId,0.0,0.0,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
2702,BCI,Bitcoin Interest,,33823016.56409865,28776.70331722,15,2018-06-30,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
372,BCN,Bytecoin,Payments;Privacy,1257358149.338255,9304897.46436772,101,2015-08-31,2023-12-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
872,BCR,Bitcredits,,51367.05681188,33699.08285163,10,2015-09-30,2016-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
106,BCX,BattleCoin,,32879.27660472,19383.15333285,5,2015-08-31,2015-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1063,BCY,BitCrystals,Gaming,21415574.61225364,716523.15084002,39,2015-10-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1793,BDL,Bitdeal,,57970044.46912319,851151.43178512,10,2017-07-31,2018-05-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3987,BDX,Beldex,Algo-Stables;AI/Big Data;Exchange Token;DePIN;Privacy,720765132.5817146,612033004.6904311,62,2019-08-31,2026-05-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3702,BEAM,Beam,Chain;Payments;Privacy,114078241.28846791,19401300.36855482,56,2019-06-30,2024-02-29,Beam,symbol,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
217,BELA,Bela,Dexs,11738920.10797411,113520.37342211,33,2016-09-30,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
24647,BERA,Berachain,Chain;Chain Bribes;Layer-1;Modular Blockchain,934749435.18671,94855270.10565709,16,2025-02-28,2026-05-31,Berachain,cmcId,68541126.0,0.7225863773689498,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.7226>= 0.01)
1198,BIGUP,BigUp,,1015067.30706284,337296.07871766,24,2016-03-31,2018-07-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
819,BITB,Bean Cash,,38393270.05954645,1536894.20397352,52,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
276,BITS,Bitstar,Yield,2200243.23144689,232412.90542964,32,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
170,BLK,BlackCoin,,64978994.04032504,2577599.24922099,64,2015-08-31,2020-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
707,BLOCK,Blocknet,,220662052.71648228,10570403.7448758,73,2015-08-31,2021-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1263,BLRY,BillaryCoin,,145737.48313612,80153.50537563,13,2016-12-31,2017-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
290,BLU,BlueCoin,Derivatives,6422489.40179578,112795.32604389,32,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1839,BNB,BNB,CEX;Chain;Launchpad;Exchange Token;Layer-1;Payments;Smart Contract Platform,149990467822.6025,95506212743.77107,107,2017-07-31,2026-05-31,Binance,cmcId,26163577445.0,0.27394634017362807,R1,DeFiLlama chain DEX non-degenerate (30d vol/mcap=0.2739>= 0.01)
2842,BNK,Bankera,Exchange Token;Payments;Smart Contract Platform,86666023.49783859,25374310.74465175,30,2019-08-31,2022-02-28,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2499,BORG,SwissBorg,CEX;Yield,1295460198.8373,167001149.13226125,77,2020-01-31,2026-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
350,BOST,BoostCoin,,5122837.59879433,23269.21050151,31,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
12,BQC,BBQCoin,,67371.63724651,3273.71255798,21,2015-08-31,2017-10-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
7096,BRG,Bridge Oracle,AI/Big Data;Payments;Smart Contract Platform,1911667679.9849749,5100317.13069078,22,2020-09-30,2023-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
426,BRIT,BritCoin,,2014227.32106638,1443997.80719024,20,2016-07-31,2018-04-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1286,BRK,Breakout,,10684825.84307211,564068.66713855,32,2016-07-31,2019-03-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
366,BSD,BitSend,,23453353.18433352,109961.16385505,46,2015-10-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3997,BST,BlockStamp,Farm;Yield,41858228.73129532,3128517.36644958,10,2020-01-31,2021-01-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
644,BSTY,GlobalBoost-Y,,2871050.21862569,2871050.21862569,40,2015-09-30,2021-01-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
3602,BSV,Bitcoin SV,Payments,6059173302.29435,280592943.5441075,90,2018-11-30,2026-05-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
10746,BSW,Biswap,Dexs;NFT;DEX;Gaming;Metaverse;Yield,230660664.6022997,13861543.05917396,39,2022-04-30,2025-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
945,BTA,Bata,,4243106.23939259,108094.5225131,32,2016-01-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
14,BTB,BitBar,,1541995.96531994,218845.57526878,32,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1,BTC,Bitcoin,Canonical Bridge;Reserve Currency;SoFi;Layer-1;Privacy,2303595782466.2275,1474289937551.7124,130,2015-08-31,2026-05-31,Bitcoin,cmcId,18889656.0,1.2812714459252982e-05,R3-BTC,"blockchain.com Estimated Transaction Value (USD), change-excluded, 2010->present"
467,BTCD,BitcoinDark,,416134573.0834743,20815315.52934343,37,2015-08-31,2018-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2575,BTCP,Bitcoin Private,Privacy,834701019.7831788,3787398.8981457,31,2018-04-30,2022-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
5455,BTCXT,Bitcoin XT,,1076669711.1300898,10051792.44496869,5,2023-09-30,2024-01-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
1381,BTDX,Bitcloud,,12954561.27209134,82734.89881353,9,2017-11-30,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
2083,BTG,Bitcoin Gold,Payments,5081627591.87143,14774754.3214569,94,2017-11-30,2026-03-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
543,BTM,Bitmark,,17298155.14266492,1173536.84145554,37,2015-08-31,2018-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1866,BTM,BytomDAO,Payments;RWA;Smart Contract Platform,994123463.2730457,10286779.63866032,84,2017-08-31,2024-08-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
463,BTS,BitShares,Dexs;DEX,1714041929.340363,11146103.97316052,102,2015-08-31,2024-01-31,,,,,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
16086,BTT,BitTorrent [New],DePIN;Storage;Interoperability,1997736639.8356853,308387644.09082085,53,2022-01-31,2026-05-31,Bittorrent,cmcId,104.0,3.3723789520364753e-07,GAP-R2,"degenerate/unmapped on DeFiLlama; Rung-2 Artemis Settlement Volume is the theoretically-correct source but is PAID-ONLY (Lite tier = Terminal/Sheets only, no REST API). Rung-3 native full-history infeasible. -> material coverage GAP pending human decision"
1654,BTX,BitCore,,301209774.5430338,7486813.07054738,42,2017-10-31,2021-07-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
1142,BUCKS,SwagBucks,,921226.06665644,446965.56012389,23,2016-04-30,2018-04-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
658,BUK,CryptoBuck,,33061.19672203,31649.83805925,4,2015-09-30,2015-12-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
573,BURST,Burst,,91806812.75676014,49722057.44630124,71,2015-08-31,2021-06-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
734,BYC,Bytecent,,3542180.28747029,671261.51603645,36,2015-08-31,2018-07-31,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
367,C2,Coin2.1,,569901.36368952,15357.63167007,33,2015-08-31,2020-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
157,CAGE,CageCoin,,3350079.18943384,2897968.36994166,9,2017-03-31,2017-11-30,,,,,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
38195,CAMP,Camp Network,Layer-1,181452044.19981205,14873768.5758709,5,2025-08-31,2025-12-31,Camp Network,cmcId,0.0,0.0,NaN,"degenerate/unmapped on DeFiLlama, non-material (peak mcap<$1B); no free transacted-value source -> PQ=NaN (expected, flagged)"
